,country,time_of_day,lat,long,road_type,road_condition,weather,solar_angle_elevation,month,hour,temperature_2m,relative_humidity_2m,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,sunshine_duration,wind_speed_10m,weather_code,laplacian,quality,brightness,noisiness,sharpness,contrast,complexity,conf,iou,lrp,pq
44941,PL,day,52.23729150299143,20.98063582984801,city,wet,rain,30.197587851397635,4,14,2.88949990272522,95.82957458496094,0.699999988079071,0.0,100.0,96.0,100.0,0.0,12.181625366210938,53.0,105.57251413496677,0.688379,0.19420329,0.9977174,0.9939458,0.1249958,0.0826593,0.5153875762018664,0.6769849845203147,1.2080029714981018,0.5011447288007524
25864,SE,day,55.60344399738312,13.020815000451629,city,normal,partly-cloudy-day,46.54600755452662,5,13,14.973999977111816,65.33308410644531,0.0,0.0,77.0,23.0,35.0,3600.0,2.099142551422119,2.0,106.86760002049292,0.62581336,0.13650797,0.9952297,0.9683691,0.12276323,0.14580064,0.6704954008261362,0.830670773995708,1.2404878356332423,0.44302441279771093
48564,DE,night,52.512189397445546,13.41703562531271,city,normal,partly-cloudy-night,-32.58932108812124,9,21,20.5935001373291,71.4222412109375,0.0,0.0,29.0,0.0,0.0,0.0,9.178235054016112,1.0,87.30437880211251,0.5562249,0.1932907,0.99353397,0.95284337,0.14257199,0.1659706,0.652330569922924,0.874103042866015,1.374103042866015,0.5827353619106767
71242,FR,day,45.59773586304726,4.796129661026468,highway,normal,rain,39.24329565918294,3,10,6.7285003662109375,88.91143798828125,0.4000000059604645,0.0,100.0,74.0,100.0,0.0,7.289444923400879,51.0,21.00130895571824,0.7926668,0.3627494,0.99566203,0.98010695,0.18038383,0.12850742,0.8056145161390305,0.8834474087389674,1.5112632116519567,0.7067579269911739
6444,FR,day,43.24021133623992,5.397407923493975,city,normal,clear-day,34.30773914139585,2,12,14.538500785827637,64.79602813720703,0.0,0.0,5.0,5.0,0.0,3600.0,28.16525650024414,0.0,66.14404973416939,0.9192189,0.6714552,0.99611616,0.9804945,0.37797353,0.26651162,0.5445620454847813,0.5387203973627843,1.0405642258086314,0.37037027318691423
65870,IT,night,41.84906163004828,12.596153425644207,highway,normal,clear-night,-23.43299589798481,8,20,24.957000732421875,72.2108154296875,0.0,0.0,10.0,0.0,10.0,0.0,7.695919990539551,0.0,110.28664399046792,0.6105165,0.10462106,0.9858716,0.8608879,0.1078877,0.20132375,0.6185790076851845,0.7229775178690497,1.4459550357380995,0.7229775178690497
97350,PL,day,52.19176916290884,20.95061583393412,arterial-urban,normal,partly-cloudy-day,48.26654251766943,4,11,15.472000122070312,45.58920669555664,0.1000000014901161,0.0,24.0,6.0,26.0,3600.0,21.31613540649414,51.0,64.52576073336265,0.59549373,0.18018597,0.9921582,0.9672413,0.15301275,0.12246734,0.7031876055093912,0.8007328708406174,1.3127621856742422,0.5478698589962119
37176,SE,day,55.60657742992844,13.01977466930417,city,normal,cloudy,30.320885017525555,5,15,15.264999389648438,64.51851654052734,0.0,0.0,86.0,25.0,38.0,3600.0,10.495713233947754,3.0,65.67989393202076,0.54831785,0.081980534,0.99281424,0.86864823,0.121646516,0.31106704,0.68839490711689,0.7562255030069167,1.4658645509216668,0.7202147647684921
62109,FR,day,43.31997613090452,5.377580400481856,arterial-urban,snow,clear-day,36.30572686823377,2,12,16.201499938964844,54.44581604003906,0.0,0.0,3.0,2.0,0.0,3600.0,27.1412296295166,0.0,44.01157531371598,0.6732013,0.15017495,0.99580634,0.83691096,0.097730875,0.17448911,0.7249081581830978,0.8162958985515503,1.5060734376824805,0.7255963542680447
20730,PL,day,52.22852551458184,21.01744021035301,city,wet,rain,13.666409721639582,4,15,2.987500190734864,90.5160675048828,0.6000000238418579,0.0,100.0,73.0,100.0,0.0,15.79083251953125,53.0,96.40765444806466,0.5589386,0.10005752,0.99483514,0.96240723,0.1575607,0.30000523,0.5822684309984508,0.753661864974045,1.2754043105432487,0.530354645722476
41605,DE,day,53.54929671339293,10.00178467485477,city,normal,partly-cloudy-day,35.11977372340514,9,9,17.541500091552734,48.95836639404297,0.0,0.0,77.0,2.0,12.0,3600.0,10.787993431091309,2.0,217.64009713012112,0.76934874,0.29777077,0.99783915,0.9945018,0.13412401,0.092576444,0.5911368398289931,0.6797309149419282,1.2073818249329942,0.4973640841038499
7540,SE,day,55.59354146969146,12.980723587046262,city,normal,partly-cloudy-day,44.05528485738554,5,13,14.98050022125244,65.3344955444336,0.0,0.0,77.0,23.0,35.0,3600.0,2.099142551422119,2.0,143.8961277573384,0.85848665,0.4266085,0.99486095,0.99059266,0.454197,0.402205,0.6363673072594863,0.8311066236698047,1.316710683510248,0.5377748741392854
35788,DE,day,51.52460618730691,7.45243762364217,city,wet,rain,14.619682459306404,12,10,3.307999849319458,92.82716369628906,0.1000000014901161,0.0,100.0,100.0,100.0,0.0,5.804825305938721,51.0,44.68547238849078,0.6612676,0.19082944,0.9960957,0.9871573,0.17795312,0.16625065,0.6365915103392168,0.75494086508113,1.3277811122471672,0.5908232857156669
27073,IT,day,41.84617150272147,12.594795246972804,city,normal,clear-day,13.492548840663574,8,16,28.66349983215332,55.09166717529297,0.0,0.0,96.0,0.0,3.0,3600.0,12.096214294433594,3.0,37.13364633250865,0.5988216,0.14890398,0.9971463,0.98749954,0.082897514,0.068643935,0.6858923307486943,0.8929824835080266,1.3929824835080264,0.5953216556720178
9397,SE,day,55.59380293898273,13.02062718547322,city,normal,cloudy,48.380907769932406,5,13,15.611000061035156,65.69258117675781,0.0,0.0,99.0,35.0,5.0,3600.0,18.94708251953125,3.0,39.70708726209431,0.6631251,0.101437666,0.9967437,0.990426,0.114366874,0.14407003,0.5608280646800995,0.7927027625399541,1.2793980915154106,0.5122079388719704
49300,PL,day,54.33550645583537,18.649177630617725,city,normal,clear-day,52.99610193492294,6,9,19.338499069213867,61.85334396362305,0.0,0.0,16.0,0.0,16.0,3600.0,12.224106788635254,0.0,38.48298241979845,0.6395802,0.22670406,0.99328774,0.9628095,0.15269734,0.08703648,0.7320911884307861,0.8313350043462904,1.220890002897527,0.4156675021731452
83575,FR,day,43.58008912940334,7.113520799079089,arterial-urban,normal,clear-day,11.717679592817989,2,7,13.355000495910645,59.40818786621094,0.0,0.0,0.0,0.0,0.0,744.4085083007812,4.680000305175781,0.0,146.23292366798518,0.62960756,0.1966785,0.9897097,0.9654845,0.13837609,0.16551471,0.5574292739232382,0.508074558597179,1.016149117194358,0.508074558597179
87224,SE,day,63.29577864289629,18.71973814008596,arterial-urban,wet,rain,14.7497930201759,3,14,1.3300000429153442,84.04115295410156,0.0,0.0,94.0,92.0,78.0,0.0,3.545588731765747,3.0,33.754499456453054,0.65113634,0.13398995,0.9958962,0.95988744,0.17966439,0.10603658,0.6386777928897313,0.787469552084084,1.2653565096160775,0.49734919078994777
41332,IT,day,45.4877544080553,9.16560245724685,city,normal,clear-day,50.90949648608533,7,9,29.482500076293945,49.87492370605469,0.0,0.0,2.0,0.0,1.0,3600.0,3.545588731765747,0.0,315.9511240227207,0.7105475,0.19958924,0.9979609,0.996581,0.09284902,0.06792525,0.6620233706065587,0.7867942102397378,1.3539162594447829,0.6004482130776946
58752,PL,day,54.35784459532387,18.64639019923517,arterial-urban,normal,clear-day,56.42570678282424,6,11,19.28249931335449,60.227516174316406,0.0,0.0,2.0,0.0,0.0,3600.0,15.192682266235352,0.0,161.25860098060812,0.8159499,0.17009364,0.99522203,0.9961118,0.13686876,0.09742494,0.7017476247115568,0.8261600877464788,1.3913921052957745,0.6196200658098591
13921,DE,day,50.94202938990734,6.937645473609567,city,normal,partly-cloudy-night,3.465839475171947,11,7,5.369499683380127,90.37100982666016,0.0,0.0,87.0,85.0,85.0,0.0,7.928177833557129,3.0,181.2809824814788,0.83933055,0.22881973,0.99532914,0.9936481,0.19214469,0.22150934,0.5362617976443712,0.6186554137677464,1.1840369682928311,0.5404346143258474
36244,DE,night,52.54064162235037,13.394268566924977,city,normal,partly-cloudy-night,-26.15282586305825,9,20,21.24349975585937,66.66645050048828,0.0,0.0,0.0,0.0,0.0,0.0,8.37338638305664,0.0,129.72034376765305,0.5652221,0.107607655,0.9845881,0.9102816,0.08897807,0.09778265,0.7088781264093187,0.8390332795744786,1.234715347397716,0.43150282949544616
5648,SE,day,55.600194615735546,12.995307981597795,city,normal,cloudy,16.378726065033362,5,17,13.5,76.76102447509766,0.0,0.0,84.0,1.0,14.0,3600.0,6.830519199371338,3.0,105.43495877869252,0.64376944,0.24070749,0.99519926,0.9563497,0.19771767,0.12154691,0.5038450807332993,0.6443292646808543,1.0980349722360518,0.3267021623733909
92314,SE,day,64.8675898063002,21.020205247875563,arterial-rural,snow,partly-cloudy-day,22.752951217888,3,11,1.2604999542236328,86.21045684814453,0.0,0.0,27.0,77.0,0.0,3600.0,6.696386814117432,1.0,26.130650123527268,0.59851617,0.10380123,0.99604756,0.9780799,0.15526125,0.12686269,0.5769107341766357,0.7150578474977973,1.4301156949955947,0.7150578474977973
63421,DE,night,51.555069884791486,6.950981113820453,highway,wet,rain,-8.009112676877436,10,5,8.675999641418457,88.7684555053711,0.2000000029802322,0.0,34.0,30.0,14.0,0.0,21.325252532958984,51.0,119.9918375842039,0.6444583,0.10609305,0.9839273,0.9858571,0.1580384,0.07940966,0.6733405167857806,0.7609942099258468,1.4416825091052792,0.6975780257653595
6370,SE,day,55.597925741368485,12.97318854723745,city,normal,partly-cloudy-day,54.27962790810261,5,10,15.217499732971191,65.82923126220703,0.0,0.0,55.0,0.0,18.0,3600.0,16.422470092773438,2.0,129.31360621514077,0.6738038,0.2420126,0.99450463,0.99100727,0.15712081,0.23328015,0.6519618359479037,0.8453816522049176,1.327203670509922,0.5434596335603041
9998,SE,day,55.601248589873705,13.015192604533508,city,normal,partly-cloudy-day,46.78948188334677,5,13,14.967499732971191,65.33164978027344,0.0,0.0,77.0,23.0,35.0,3600.0,2.099142551422119,2.0,96.61592405649093,0.5582682,0.12850441,0.9940106,0.98512244,0.066278726,0.096131675,0.5622258966877347,0.6876431848395201,1.2852176409560707,0.593873659634131
55406,IE,day,53.94515236101808,-8.086254496722391,arterial-rural,normal,partly-cloudy-day,13.992393435551064,12,12,5.485000133514404,84.82872772216797,0.0,0.0,100.0,100.0,100.0,0.0,8.496304512023926,3.0,54.63062790388328,0.505995,0.13706776,0.9920447,0.952596,0.11377379,0.08321695,0.6892617685454232,0.8094719534752796,1.3610506123878263,0.596453018350206
11807,SE,day,55.59200485294802,13.021663461405597,city,normal,partly-cloudy-day,55.074211589779935,5,10,15.204500198364258,65.82642364501953,0.0,0.0,55.0,0.0,18.0,3600.0,16.422470092773438,2.0,131.53738610128534,0.6685251,0.11639678,0.99822754,0.9963134,0.1368735,0.09975342,0.5442970588803291,0.7223247104800811,1.2290618229188712,0.4911808031264551
16566,SE,day,55.57958894870767,13.000272244777443,city,normal,partly-cloudy-day,54.73553590790608,5,10,15.1850004196167,65.82221984863281,0.0,0.0,55.0,0.0,18.0,3600.0,16.422470092773438,2.0,242.3360605085969,0.79291546,0.21618488,0.9947797,0.98657876,0.17927307,0.34959498,0.5355255524317424,0.6123165368625673,1.0998369216556154,0.37681017653081067
13259,FR,day,43.2787616767232,5.38043934044547,city,normal,clear-day,26.02585248046526,2,9,13.22350025177002,83.97423553466797,0.0,0.0,3.0,3.0,0.0,3600.0,5.351784706115723,0.0,122.75628015875752,0.8243003,0.25899386,0.9955016,0.9907218,0.347023,0.3762495,0.6563484337594774,0.7444987304660092,1.3556345170414679,0.6269462993397973
76603,FR,day,43.60471086135591,7.066420480369738,highway,normal,clear-day,26.809262441058912,2,9,14.704500198364258,55.957550048828125,0.0,0.0,0.0,0.0,0.0,3600.0,1.7999999523162842,0.0,70.47670176103325,0.49792603,0.17257224,0.99163014,0.9238009,0.09842177,0.2419764,0.4951512257258097,0.7339114395885644,1.241977351298515,0.5003941633558394
7908,DE,day,50.93530660972594,6.957912719045291,city,normal,partly-cloudy-day,17.75711259013704,11,10,7.150000095367432,85.01495361328125,0.1000000014901161,0.0,36.0,31.0,14.0,3600.0,10.58791732788086,51.0,74.93432388001362,0.799819,0.2545115,0.9962308,0.99016094,0.20470124,0.12634702,0.565673291683197,0.7668571802073675,1.3558095736098235,0.6134857441658941
43830,PL,day,52.23181806902176,20.95883114435318,city,wet,rain,33.44458989169694,4,13,2.7264997959136963,96.50921630859376,0.800000011920929,0.0,100.0,100.0,100.0,0.0,12.101570129394531,53.0,47.01672164594724,0.5782998,0.09811957,0.995252,0.9744769,0.16110037,0.12829407,0.612931660243443,0.7312530126378581,1.3386204827911494,0.6181726498588079
87769,IT,night,41.79819719917198,12.538843778245145,highway,normal,clear-night,-19.960882647756705,8,20,25.17999839782715,76.61670684814453,0.0,0.0,0.0,0.0,0.0,0.0,3.545588731765747,0.0,107.53744003775957,0.65429527,0.06313132,0.9869061,0.90478224,0.070641726,0.2119697,0.6712924043337504,0.613850085663015,1.1707751284945225,0.5261572162825843
91913,IT,day,45.526976181940746,9.23406215880955,arterial-urban,normal,partly-cloudy-day,26.414468919952785,7,6,26.275999069213867,61.0664291381836,0.0,0.0,15.0,8.0,2.0,3600.0,9.885261535644531,0.0,202.62980965313525,0.73580813,0.22297925,0.99454427,0.9667454,0.18451123,0.24811763,0.6001730918884277,0.747155556758568,1.279393238074903,0.5396123465478547
34227,DE,night,53.08587222733581,8.831607683354958,city,normal,cloudy,-8.843205788861354,12,6,1.934999942779541,95.45465087890624,0.0,0.0,100.0,100.0,100.0,0.0,7.636752605438232,3.0,119.6042585190458,0.80163544,0.2631252,0.99701,0.995488,0.19980246,0.22508092,0.47641149825519985,0.7650820959158355,1.348393611775098,0.6067892484849731
28085,PL,day,52.24075751285356,20.98625725516024,city,wet,rain,30.46816927375773,4,14,2.8310000896453857,95.82762908935548,0.699999988079071,0.0,100.0,96.0,100.0,0.0,12.181625366210938,53.0,77.55876632990511,0.7799672,0.17943083,0.99366015,0.9824372,0.39352453,0.5609198,0.6253393822246127,0.7342542577747359,1.2635360399965778,0.5286630655978098
33387,DE,twilight,50.9463851607472,6.938454052272406,city,normal,partly-cloudy-night,-1.2064588666216451,11,6,5.401999950408936,90.37340545654295,0.0,0.0,87.0,85.0,85.0,0.0,7.928177833557129,3.0,77.16247490655198,0.5739305,0.143595,0.99494153,0.9583293,0.118827045,0.13625401,0.584036145072717,0.6823295120552769,1.2652065629894937,0.5745932733097069
85424,DE,night,52.22235609673131,7.872026140432309,highway,wet,rain,-6.493878758033205,12,6,2.5180001258850098,98.23792266845705,0.1000000014901161,0.0,100.0,100.0,100.0,0.0,11.18320083618164,51.0,125.6934341161803,0.899799,0.2763284,0.9839102,0.99513763,0.22378904,0.12258403,0.7580346550260272,0.7300222976441545,1.460044595288309,0.7300222976441545
10735,SE,day,55.59622086843865,12.969044781105334,city,normal,partly-cloudy-day,48.02068117789199,5,13,15.493499755859377,60.74922943115234,0.0,0.0,96.0,5.0,37.0,3600.0,11.50311279296875,3.0,92.37936929254867,0.69380426,0.115244664,0.99601054,0.990612,0.10376441,0.13873106,0.6377488119261605,0.6371710529478154,1.1477226724053398,0.44601973706347076
60485,IE,day,53.94448747280709,-8.086325328637349,arterial-rural,normal,partly-cloudy-day,13.999900378274717,12,12,5.491500377655029,84.82946014404297,0.0,0.0,100.0,100.0,100.0,0.0,8.496304512023926,3.0,41.09859372222483,0.5179167,0.15363148,0.99257505,0.9425356,0.10659829,0.08115207,0.7097647860646248,0.9463966038191002,1.5356759245829203,0.7097974528643252
5124,SE,day,55.59983666176252,12.991610386135758,city,normal,partly-cloudy-day,45.00890368597067,5,13,14.973999977111816,65.33308410644531,0.0,0.0,77.0,23.0,35.0,3600.0,2.099142551422119,2.0,97.73898245513222,0.6226617,0.091721185,0.99442333,0.9883618,0.11394313,0.08668324,0.6783841577443209,0.8369855137123762,1.2180494500491845,0.4091929178149395
24379,PL,day,52.24869842061002,20.983197785656152,city,wet,rain,30.876885458304173,4,14,2.8959999084472656,95.82979583740234,0.699999988079071,0.0,100.0,96.0,100.0,0.0,12.181625366210938,53.0,134.22090243608935,0.6016601,0.11321851,0.9968901,0.98758173,0.12631671,0.10711782,0.532650751726968,0.7526841040535912,1.356730499840364,0.622910982665041
11541,DE,day,50.93525981682736,6.95111666150461,city,normal,partly-cloudy-day,18.190405426871365,11,10,7.156499862670898,85.01569366455078,0.1000000014901161,0.0,36.0,31.0,14.0,3600.0,10.58791732788086,51.0,413.4536095748383,0.6745829,0.11517418,0.99658835,0.9747984,0.12899995,0.14237835,0.5623073333076068,0.7215374261395139,1.2742844323632077,0.5517639141066871
24325,SE,day,55.57915817893968,13.003225953100644,city,normal,partly-cloudy-day,54.787656693421866,5,10,15.191499710083008,65.82361602783203,0.0,0.0,55.0,0.0,18.0,3600.0,16.422470092773438,2.0,89.76837985897028,0.7077051,0.35548052,0.99542195,0.9898197,0.15111563,0.07792638,0.5629693198204041,0.7441488004587518,1.3255317339450023,0.5953190403670015
87161,NO,day,65.79304802620447,15.101851898281508,arterial-rural,wet,rain,4.133541882621344,3,16,2.0850000381469727,96.49122619628906,0.1000000014901161,0.0,99.0,98.0,3.0,0.0,14.685175895690918,51.0,58.33184182339093,0.5932878,0.12153488,0.9943099,0.97724503,0.13939199,0.10882383,0.0,0.0,1.0,0.0
43924,IT,day,45.49361212946883,9.226503555501274,city,normal,clear-day,64.25286922132742,7,11,31.791000366210938,41.05412673950195,0.0,0.0,92.0,0.0,5.0,3600.0,2.968636035919189,3.0,54.6000754655236,0.5428716,0.107901655,0.99557906,0.9451662,0.13074754,0.14373732,0.7181588684519132,0.8444931161614528,1.401908635521695,0.6222580855926494
44602,DE,day,50.93086766298897,6.951715225192517,city,normal,partly-cloudy-day,18.077235978316736,11,10,7.189000129699707,85.01927947998047,0.1000000014901161,0.0,36.0,31.0,14.0,3600.0,10.58791732788086,51.0,55.85749885523528,0.55627507,0.13140914,0.992961,0.96434003,0.1320936,0.10807417,0.6092675477266312,0.7274697732356381,1.3499534972855969,0.6325824115092505
96678,DE,night,49.196169186460885,9.442903237169483,highway,normal,partly-cloudy-night,-15.957060429127878,10,18,7.38100004196167,86.23174285888672,0.0,0.0,36.0,9.0,36.0,0.0,8.699792861938477,1.0,67.49605294254827,0.7644176,0.18622655,0.9887461,0.9761672,0.18402132,0.24537927,0.541396576166153,0.8147528288721707,1.349725365413523,0.5819663063372648
38645,SE,twilight,59.25737303479719,15.229996711613971,city,normal,cloudy,-0.0338746472625217,5,19,7.567500114440918,51.36999130249024,0.0,0.0,4.0,0.0,4.0,0.0,6.489992141723633,0.0,87.20453950279757,0.58571243,0.20280159,0.9951507,0.9778217,0.1375543,0.10157701,0.43036288022994995,0.1981474171013489,0.5975298894684652,0.1585179336810791
41202,DE,twilight,50.935743213642986,6.961208751682155,city,normal,rain,-2.077363623837556,11,15,11.302000045776367,81.51251220703125,0.0,0.0,99.0,99.0,85.0,0.0,15.646544456481934,3.0,88.03345438351889,0.7696238,0.26497343,0.99643046,0.9378165,0.27153212,0.18968564,0.7282428996903556,0.7692613240539485,1.47120731709441,0.7179772357836853
77394,FR,day,43.93213142074295,4.91281737858989,smaller-rural,normal,partly-cloudy-day,31.786021134110825,3,9,10.756000518798828,67.38587188720703,0.0,0.0,7.0,7.0,3.0,3600.0,5.351784706115723,0.0,32.715135799268424,0.71637535,0.2972189,0.9968527,0.9835593,0.16725864,0.099364586,0.7308675944805145,0.8125364318656056,1.2884951678759435,0.513180904336172
11564,PL,day,52.237712061736616,21.025732400811258,city,wet,rain,15.78780973528312,4,15,3.258500099182129,94.82649230957033,0.6000000238418579,0.0,100.0,80.0,100.0,0.0,13.10419750213623,53.0,67.84714665409453,0.6650495,0.11644309,0.99656135,0.981783,0.15676674,0.16632204,0.4707522793458058,0.6982491703318934,1.2180740873650826,0.4955316692677953
11125,SE,day,55.607369529931816,13.027449087011185,city,normal,cloudy,46.40120068681667,5,13,14.797499656677246,64.19628143310547,0.0,0.0,99.0,17.0,0.0,3600.0,23.18578720092773,3.0,72.79245380202282,0.74745303,0.1962303,0.99657565,0.9911869,0.15981975,0.091284275,0.5389858841896057,0.7470946913729708,1.281009649012398,0.5416436512454038
4734,FR,day,43.29837006495182,5.364622578839725,city,wet,clear-day,23.01214038004015,2,8,13.561500549316406,84.0130615234375,0.0,0.0,3.0,3.0,0.0,3600.0,5.351784706115723,0.0,78.91803219844672,0.63457054,0.12876557,0.9956008,0.9826841,0.106429204,0.121572554,0.6099735417149283,0.8394414245461838,1.3818716026144569,0.6043978256732523
83014,DE,night,51.48527262354151,6.9993637320897815,arterial-urban,normal,rain,-10.100066382959923,10,5,8.579999923706055,88.45633697509766,0.6000000238418579,0.0,89.0,87.0,30.0,0.0,23.22488212585449,53.0,122.33734890972278,0.7178187,0.24000238,0.99351406,0.9107119,0.23072852,0.2204446,0.6214135686556498,0.783686954729369,1.2701780521232084,0.5056044869221735
7010,PL,day,52.25832639332832,20.99647191309174,city,normal,clear-day,44.21401994810436,4,8,9.461000442504885,51.14630126953125,0.0,0.0,0.0,0.0,0.0,3600.0,12.738099098205566,0.0,91.95605821671109,0.82495016,0.19723403,0.99406886,0.99106663,0.3379271,0.29516524,0.5859337563698108,0.8206616686328441,1.320661668632844,0.5471077790885627
59847,DE,day,53.07105231674839,8.864504238962358,arterial-urban,wet,cloudy,13.111120160998285,12,10,3.624000072479248,91.86066436767578,0.1000000014901161,0.0,100.0,100.0,23.0,0.0,15.15852165222168,51.0,168.27368246939417,0.7990881,0.21604949,0.99655414,0.983496,0.26378787,0.20885903,0.6470361839641224,0.849627907943138,1.3411003979933054,0.557133054388943
99439,SE,day,65.54353308738483,21.83004885378448,arterial-rural,wet,partly-cloudy-day,9.235114549932716,3,15,-0.4200000166893005,72.17308807373047,0.0,0.0,83.0,0.0,80.0,3600.0,7.862518310546875,3.0,30.39167803167617,0.64175266,0.11800976,0.9918636,0.91833496,0.114246584,0.207013,0.8584155142307281,0.9138336539503029,1.8276673079006058,0.9138336539503029
7563,SE,day,55.60402658743074,13.027174375201678,city,normal,cloudy,49.398062389814456,5,13,16.104000091552734,65.79890441894531,0.0,0.0,100.0,73.0,13.0,3600.0,18.723461151123047,3.0,40.74148181308529,0.5800984,0.090528846,0.99481744,0.9485973,0.15480945,0.25039548,0.47360459145377665,0.7162948066832227,1.176240212852996,0.4146969933429184
80672,NO,day,64.18489793689885,11.225238800611432,arterial-rural,normal,partly-cloudy-day,8.971974872237112,2,9,0.4090000092983246,77.0762710571289,0.0,0.0,100.0,0.0,100.0,0.0,11.119280815124512,3.0,19.119606058520244,0.5117073,0.09965283,0.9941782,0.965719,0.111602746,0.095399655,0.3233659267425537,0.0,1.0,0.0
52859,GB,day,51.49032486754388,-0.2447957678101035,arterial-urban,normal,cloudy,24.183171719887497,2,10,9.501999855041504,66.8827133178711,0.0,0.0,99.0,0.0,65.0,3600.0,28.26630401611328,3.0,79.67723889118759,0.8372645,0.4994526,0.99481577,0.9759829,0.34286928,0.3263572,0.7468702082450573,0.8749310041356367,1.4431002776148434,0.6499487459293302
18749,DE,day,50.93524164712863,6.95948247829313,city,normal,partly-cloudy-day,18.26755059430232,11,10,7.182499885559082,85.0185546875,0.1000000014901161,0.0,36.0,31.0,14.0,3600.0,10.58791732788086,51.0,273.19361507888027,0.7375006,0.16822723,0.9975139,0.9945786,0.2070515,0.20912041,0.6653776288032531,0.7764070174875205,1.429966471647254,0.6793561403015804
57167,SE,night,65.59292033867662,22.243281175321485,smaller-rural,snow,cloudy,-10.50826932679523,3,18,-5.036499977111816,74.96739196777344,0.0,0.0,100.0,3.0,100.0,0.0,21.37078285217285,3.0,136.58094313772332,0.53806823,0.41786724,0.97158414,0.8055204,0.13001011,0.13394997,0.5817492604255676,0.9352412501016779,1.217620625050839,0.3740965000406712
