,country,time_of_day,lat,long,road_type,road_condition,weather,solar_angle_elevation,month,hour,forward_acceleration,lateral_acceleration,forward_velocity,lateral_velocity,field_view_horizontal,camera_distance_from_ground,camera_pitch_angle,distortion_magnitude,camera_offset,laplacian,quality,brightness,noisiness,sharpness,contrast,complexity,temperature_2m,relative_humidity_2m,rain,snowfall,cloud_cover,cloud_cover_low,cloud_cover_mid,wind_speed_10m,weather_code
41247,IT,day,41.817362180249454,12.46225829950346,city,normal,clear-day,55.53569481450084,8,12,-1.1165047223829745,-0.990020789382994,62.9251847750503,-0.0949308692140303,120.9702880538638,1.102109518675779,0.9413256208462162,0.0465482622168124,39.98099524207568,40.21934586148316,0.86907506,0.2318251,0.9981896,0.98284435,0.23663455,0.21135658,31.6200008392334,45.50388717651367,0.0,0.0,7.0,0.0,0.0,15.62997055053711,0.0
44941,PL,day,52.23729150299143,20.98063582984801,city,wet,rain,30.197587851397635,4,14,-0.0634500474019936,-0.1350433901853814,-0.0101008950857595,0.0140028375168378,120.0310462140434,1.129930671152837,0.7845076667532294,0.0339008523862861,14.273953023409025,105.57251413496677,0.688379,0.19420329,0.9977174,0.9939458,0.1249958,0.0826593,2.88949990272522,95.82957458496094,0.699999988079071,0.0,100.0,96.0,100.0,12.181625366210938,53.0
25864,SE,day,55.60344399738312,13.020815000451629,city,normal,partly-cloudy-day,46.54600755452662,5,13,1.322278619685157,-0.8720814601634685,29.29138168090878,-0.0072680873996804,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,106.86760002049292,0.62581336,0.13650797,0.9952297,0.9683691,0.12276323,0.14580064,14.973999977111816,65.33308410644531,0.0,0.0,77.0,23.0,35.0,2.099142551422119,2.0
48564,DE,night,52.512189397445546,13.41703562531271,city,normal,partly-cloudy-night,-32.58932108812124,9,21,-0.0809060652443901,-0.6494624701055328,28.60195180699047,0.2485804779355364,120.9702880538638,1.11944171485232,-0.8395695537100034,0.0465482622168124,39.98099524207568,87.30437880211251,0.5562249,0.1932907,0.99353397,0.95284337,0.14257199,0.1659706,20.5935001373291,71.4222412109375,0.0,0.0,29.0,0.0,0.0,9.178235054016112,1.0
6444,FR,day,43.24021133623992,5.397407923493975,city,normal,clear-day,34.30773914139585,2,12,1.4086193820184538,-1.2984742674148682,40.60033375010442,-0.4857380321557993,121.2376221304691,1.124371377834915,1.027903171759739,0.0207499795669303,16.47928310679553,66.14404973416939,0.9192189,0.6714552,0.99611616,0.9804945,0.37797353,0.26651162,14.538500785827637,64.79602813720703,0.0,0.0,5.0,5.0,0.0,28.16525650024414,0.0
97350,PL,day,52.19176916290884,20.95061583393412,arterial-urban,normal,partly-cloudy-day,48.26654251766943,4,11,0.9661307448420255,-0.9388217376829594,62.58971167768431,-0.5341316972053437,120.581700743319,1.136123277061316,1.6937316964155458,0.0372505490510181,14.756775720979997,64.52576073336265,0.59549373,0.18018597,0.9921582,0.9672413,0.15301275,0.12246734,15.472000122070312,45.58920669555664,0.1000000014901161,0.0,24.0,6.0,26.0,21.31613540649414,51.0
7672,SE,day,55.60617320378556,13.014721161205127,city,normal,cloudy,29.497733900957684,5,15,0.1702606291655558,-1.2457629376231376,34.333157853059284,-0.077831944028666,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,94.4849749061319,0.70725703,0.120968185,0.99776316,0.9901787,0.1377301,0.14557691,14.069499969482422,72.59172821044922,0.0,0.0,81.0,1.0,4.0,9.686609268188477,3.0
37176,SE,day,55.60657742992844,13.01977466930417,city,normal,cloudy,30.320885017525555,5,15,0.2669829384034177,-0.4663119592173795,31.03312874406048,0.098081507798075,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,65.67989393202076,0.54831785,0.081980534,0.99281424,0.86864823,0.121646516,0.31106704,15.264999389648438,64.51851654052734,0.0,0.0,86.0,25.0,38.0,10.495713233947754,3.0
58372,PL,day,54.36238767190343,18.640764358730465,arterial-urban,normal,partly-cloudy-day,57.12513575990943,5,10,0.5222889032518159,0.3314967618391192,50.12734838305055,-0.0175398226059662,120.7571865009013,1.146133774946981,-0.1805215477089987,0.0721550162525081,23.97482685304935,128.65755864755835,0.66904587,0.19429167,0.99518496,0.98521614,0.083232455,0.103819944,10.96299934387207,78.73835754394531,0.0,0.0,95.0,94.0,33.0,15.5301513671875,3.0
20730,PL,day,52.22852551458184,21.01744021035301,city,wet,rain,13.666409721639582,4,15,-1.6308095147310313,-0.93680421403073,28.969584520561344,0.1067553251724845,120.0310462140434,1.129930671152837,0.7845076667532294,0.0339008523862861,14.273953023409025,96.40765444806466,0.5589386,0.10005752,0.99483514,0.96240723,0.1575607,0.30000523,2.987500190734864,90.5160675048828,0.6000000238418579,0.0,100.0,73.0,100.0,15.79083251953125,53.0
41605,DE,day,53.54929671339293,10.00178467485477,city,normal,partly-cloudy-day,35.11977372340514,9,9,-1.6602871911880412,1.7461615397520007,22.231682515967407,-0.3816980219502607,121.0847164834004,1.13414802111517,1.4147402946396068,0.0247496022748684,37.79941028289983,217.64009713012112,0.76934874,0.29777077,0.99783915,0.9945018,0.13412401,0.092576444,17.541500091552734,48.95836639404297,0.0,0.0,77.0,2.0,12.0,10.787993431091309,2.0
7540,SE,day,55.59354146969146,12.980723587046262,city,normal,partly-cloudy-day,44.05528485738554,5,13,-0.787467457263429,-0.7042476059067176,38.59074511716241,-0.0105499859183937,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,143.8961277573384,0.85848665,0.4266085,0.99486095,0.99059266,0.454197,0.402205,14.98050022125244,65.3344955444336,0.0,0.0,77.0,23.0,35.0,2.099142551422119,2.0
35788,DE,day,51.52460618730691,7.45243762364217,city,wet,rain,14.619682459306404,12,10,0.4692798912810242,-0.1253554179373305,29.406985934815044,0.0627007684649599,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,44.68547238849078,0.6612676,0.19082944,0.9960957,0.9871573,0.17795312,0.16625065,3.307999849319458,92.82716369628906,0.1000000014901161,0.0,100.0,100.0,100.0,5.804825305938721,51.0
27073,IT,day,41.84617150272147,12.594795246972804,city,normal,clear-day,13.492548840663574,8,16,-0.7801186450442485,-2.0322618161010726,85.75348172632897,-0.4769206670877018,120.9702880538638,1.102109518675779,0.9413256208462162,0.0465482622168124,39.98099524207568,37.13364633250865,0.5988216,0.14890398,0.9971463,0.98749954,0.082897514,0.068643935,28.66349983215332,55.09166717529297,0.0,0.0,96.0,0.0,3.0,12.096214294433594,3.0
9397,SE,day,55.59380293898273,13.02062718547322,city,normal,cloudy,48.380907769932406,5,13,6.545267829586906,-0.5698590221794513,8.46113354400055,0.0214578725046437,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,39.70708726209431,0.6631251,0.101437666,0.9967437,0.990426,0.114366874,0.14407003,15.611000061035156,65.69258117675781,0.0,0.0,99.0,35.0,5.0,18.94708251953125,3.0
83575,FR,day,43.58008912940334,7.113520799079089,arterial-urban,normal,clear-day,11.717679592817989,2,7,4.055209881332458,0.5751006433406375,63.700456178622,-0.5656498331280051,121.2376221304691,1.124371377834915,1.0297874529707356,0.0207499795669303,16.47928310679553,146.23292366798518,0.62960756,0.1966785,0.9897097,0.9654845,0.13837609,0.16551471,13.355000495910645,59.40818786621094,0.0,0.0,0.0,0.0,0.0,4.680000305175781,0.0
41332,IT,day,45.4877544080553,9.16560245724685,city,normal,clear-day,50.90949648608533,7,9,2.55529990454578,4.331522955309478,23.44363112379485,0.35466227024269,120.9702880538638,1.102109518675779,0.9415250836037842,0.0465482622168124,39.98099524207568,315.9511240227207,0.7105475,0.19958924,0.9979609,0.996581,0.09284902,0.06792525,29.482500076293945,49.87492370605469,0.0,0.0,2.0,0.0,1.0,3.545588731765747,0.0
13921,DE,day,50.94202938990734,6.937645473609567,city,normal,partly-cloudy-night,3.465839475171947,11,7,2.869985543497344,-1.5479105818936083,19.529062649875303,-0.1036369292563172,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,181.2809824814788,0.83933055,0.22881973,0.99532914,0.9936481,0.19214469,0.22150934,5.369499683380127,90.37100982666016,0.0,0.0,87.0,85.0,85.0,7.928177833557129,3.0
36244,DE,night,52.54064162235037,13.394268566924977,city,normal,partly-cloudy-night,-26.15282586305825,9,20,-5.207801133226261,-0.4196082824092437,31.549316669492818,0.0118608438036421,120.9702880538638,1.11944171485232,-0.8395695537100034,0.0465482622168124,39.98099524207568,129.72034376765305,0.5652221,0.107607655,0.9845881,0.9102816,0.08897807,0.09778265,21.24349975585937,66.66645050048828,0.0,0.0,0.0,0.0,0.0,8.37338638305664,0.0
5648,SE,day,55.600194615735546,12.995307981597795,city,normal,cloudy,16.378726065033362,5,17,0.2495791364904318,-0.4518805322808227,0.0225095199163891,-0.0337623985692615,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,105.43495877869252,0.64376944,0.24070749,0.99519926,0.9563497,0.19771767,0.12154691,13.5,76.76102447509766,0.0,0.0,84.0,1.0,14.0,6.830519199371338,3.0
63421,DE,night,51.555069884791486,6.950981113820453,highway,wet,rain,-8.009112676877436,10,5,1.81271725185479,1.3693821418678598,90.79646318871058,0.4398739738220944,121.1604837134374,1.125060013269004,-0.839908092424094,0.088727668963989,31.73622738887918,119.9918375842039,0.6444583,0.10609305,0.9839273,0.9858571,0.1580384,0.07940966,8.675999641418457,88.7684555053711,0.2000000029802322,0.0,34.0,30.0,14.0,21.325252532958984,51.0
6370,SE,day,55.597925741368485,12.97318854723745,city,normal,partly-cloudy-day,54.27962790810261,5,10,-9.467519919631188,-1.2131211897965422,12.73507052618142,-0.1925758518561074,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,129.31360621514077,0.6738038,0.2420126,0.99450463,0.99100727,0.15712081,0.23328015,15.217499732971191,65.82923126220703,0.0,0.0,55.0,0.0,18.0,16.422470092773438,2.0
21931,PL,day,54.39299257901917,18.604027657544425,city,normal,partly-cloudy-day,9.004528127751698,6,17,0.3134438830620777,-1.931997278384301,60.08165339829786,-0.3417973718649962,120.7571865009013,1.146133774946981,-0.1805215477089987,0.0721550162525081,23.97482685304935,77.61259388191142,0.547864,0.18394125,0.9873935,0.83448535,0.15530616,0.25560743,17.399999618530273,59.578731536865234,0.0,0.0,55.0,0.0,0.0,8.473393440246582,2.0
9998,SE,day,55.601248589873705,13.015192604533508,city,normal,partly-cloudy-day,46.78948188334677,5,13,0.6942739213608079,-0.9722549103653662,33.401340519940526,-0.1403776482828686,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,96.61592405649093,0.5582682,0.12850441,0.9940106,0.98512244,0.066278726,0.096131675,14.967499732971191,65.33164978027344,0.0,0.0,77.0,23.0,35.0,2.099142551422119,2.0
11807,SE,day,55.59200485294802,13.021663461405597,city,normal,partly-cloudy-day,55.074211589779935,5,10,-0.3049552070017101,-1.0933871789636584,10.62733886258424,0.0513691294049066,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,131.53738610128534,0.6685251,0.11639678,0.99822754,0.9963134,0.1368735,0.09975342,15.204500198364258,65.82642364501953,0.0,0.0,55.0,0.0,18.0,16.422470092773438,2.0
16566,SE,day,55.57958894870767,13.000272244777443,city,normal,partly-cloudy-day,54.73553590790608,5,10,-0.4567631584423016,-1.6951733605997752,36.77641066640337,0.0014402557628392,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,242.3360605085969,0.79291546,0.21618488,0.9947797,0.98657876,0.17927307,0.34959498,15.1850004196167,65.82221984863281,0.0,0.0,55.0,0.0,18.0,16.422470092773438,2.0
13259,FR,day,43.2787616767232,5.38043934044547,city,normal,clear-day,26.02585248046526,2,9,0.37212118602519,-0.0805392654966805,0.0012292177120638,0.0146650882635714,121.2376221304691,1.124371377834915,1.0292988919458896,0.0207499795669303,16.47928310679553,122.75628015875752,0.8243003,0.25899386,0.9955016,0.9907218,0.347023,0.3762495,13.22350025177002,83.97423553466797,0.0,0.0,3.0,3.0,0.0,5.351784706115723,0.0
76603,FR,day,43.60471086135591,7.066420480369738,highway,normal,clear-day,26.809262441058912,2,9,3.738229649199239,0.1663336829853502,3.092630076511018,-0.0573899479127909,121.2376221304691,1.124371377834915,1.0297874529707356,0.0207499795669303,16.47928310679553,70.47670176103325,0.49792603,0.17257224,0.99163014,0.9238009,0.09842177,0.2419764,14.704500198364258,55.957550048828125,0.0,0.0,0.0,0.0,0.0,1.7999999523162842,0.0
7908,DE,day,50.93530660972594,6.957912719045291,city,normal,partly-cloudy-day,17.75711259013704,11,10,1.6150254381595806,-12.783031760896284,16.375267836977713,-0.4477181294720898,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,74.93432388001362,0.799819,0.2545115,0.9962308,0.99016094,0.20470124,0.12634702,7.150000095367432,85.01495361328125,0.1000000014901161,0.0,36.0,31.0,14.0,10.58791732788086,51.0
24078,SE,day,55.58494618692898,13.00782072947576,city,normal,cloudy,47.96883805202936,5,13,-1.5055525860420964,-1.8755037212840804,32.18176738662821,-0.0561377378810319,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,56.725805850699885,0.7022627,0.10378642,0.9937803,0.93641484,0.20801291,0.2380852,15.571999549865724,65.68415832519531,0.0,0.0,99.0,35.0,5.0,18.94708251953125,3.0
87769,IT,night,41.79819719917198,12.538843778245145,highway,normal,clear-night,-19.960882647756705,8,20,-0.305684875447848,-0.7406423010449246,82.73317347642818,-0.1383983445803115,120.9702880538638,1.102109518675779,0.9413256208462162,0.0465482622168124,39.98099524207568,107.53744003775957,0.65429527,0.06313132,0.9869061,0.90478224,0.070641726,0.2119697,25.17999839782715,76.61670684814453,0.0,0.0,0.0,0.0,0.0,3.545588731765747,0.0
91913,IT,day,45.526976181940746,9.23406215880955,arterial-urban,normal,partly-cloudy-day,26.414468919952785,7,6,0.3305690306975051,0.7167335430551854,0.0419145394513461,0.0451405386089377,120.9702880538638,1.102109518675779,0.9415250836037842,0.0465482622168124,39.98099524207568,202.62980965313525,0.73580813,0.22297925,0.99454427,0.9667454,0.18451123,0.24811763,26.275999069213867,61.0664291381836,0.0,0.0,15.0,8.0,2.0,9.885261535644531,0.0
34227,DE,night,53.08587222733581,8.831607683354958,city,normal,cloudy,-8.843205788861354,12,6,-1.2518914352595407,-0.116722617188262,2.8686521125383453,-0.0223706751504369,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,119.6042585190458,0.80163544,0.2631252,0.99701,0.995488,0.19980246,0.22508092,1.934999942779541,95.45465087890624,0.0,0.0,100.0,100.0,100.0,7.636752605438232,3.0
3971,DE,twilight,50.93371612276684,6.948639623318151,city,normal,rain,-1.670210373456584,11,15,-2.274334324115196,-0.4872820869881853,1.8794768737104008,-0.1078078536381392,121.1604837134374,1.125060013269004,-0.8407723553183722,0.088727668963989,31.73622738887918,221.9566864681304,0.72048813,0.17022763,0.9963852,0.98920447,0.17125654,0.21027891,11.262999534606934,81.50737762451172,0.0,0.0,99.0,99.0,85.0,15.646544456481934,3.0
28085,PL,day,52.24075751285356,20.98625725516024,city,wet,rain,30.46816927375773,4,14,-0.317144051082313,-0.8501246359019711,25.919505671993225,-0.0268153330800859,120.0310462140434,1.129930671152837,0.7845076667532294,0.0339008523862861,14.273953023409025,77.55876632990511,0.7799672,0.17943083,0.99366015,0.9824372,0.39352453,0.5609198,2.8310000896453857,95.82762908935548,0.699999988079071,0.0,100.0,96.0,100.0,12.181625366210938,53.0
33387,DE,twilight,50.9463851607472,6.938454052272406,city,normal,partly-cloudy-night,-1.2064588666216451,11,6,1.5751604485307986,0.0268214595132355,1.415062827531424,-0.0278694150250265,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,77.16247490655198,0.5739305,0.143595,0.99494153,0.9583293,0.118827045,0.13625401,5.401999950408936,90.37340545654295,0.0,0.0,87.0,85.0,85.0,7.928177833557129,3.0
10735,SE,day,55.59622086843865,12.969044781105334,city,normal,partly-cloudy-day,48.02068117789199,5,13,0.293050319199433,-0.7925283523743264,37.72056102808175,-0.0495377204980119,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,92.37936929254867,0.69380426,0.115244664,0.99601054,0.990612,0.10376441,0.13873106,15.493499755859377,60.74922943115234,0.0,0.0,96.0,5.0,37.0,11.50311279296875,3.0
60485,IE,day,53.94448747280709,-8.086325328637349,arterial-rural,normal,partly-cloudy-day,13.999900378274717,12,12,0.6692412113842813,-0.2008984692212158,21.8716960419107,0.0091544798298018,120.3479639363886,1.138603587390257,0.0144530997248433,0.0720059330798686,22.610680125235643,41.09859372222483,0.5179167,0.15363148,0.99257505,0.9425356,0.10659829,0.08115207,5.491500377655029,84.82946014404297,0.0,0.0,100.0,100.0,100.0,8.496304512023926,3.0
5124,SE,day,55.59983666176252,12.991610386135758,city,normal,partly-cloudy-day,45.00890368597067,5,13,0.2449976008018172,-0.3998039224859077,40.78080446767898,-0.035675241735796,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,97.73898245513222,0.6226617,0.091721185,0.99442333,0.9883618,0.11394313,0.08668324,14.973999977111816,65.33308410644531,0.0,0.0,77.0,23.0,35.0,2.099142551422119,2.0
24379,PL,day,52.24869842061002,20.983197785656152,city,wet,rain,30.876885458304173,4,14,-1.6196572469130184,-1.4860505362472447,31.740210117568097,0.0385838770744116,120.0310462140434,1.129930671152837,0.7845076667532294,0.0339008523862861,14.273953023409025,134.22090243608935,0.6016601,0.11321851,0.9968901,0.98758173,0.12631671,0.10711782,2.8959999084472656,95.82979583740234,0.699999988079071,0.0,100.0,96.0,100.0,12.181625366210938,53.0
11541,DE,day,50.93525981682736,6.95111666150461,city,normal,partly-cloudy-day,18.190405426871365,11,10,4.0728604849438526,0.1891131530453667,23.30157406124804,0.2064651523743889,121.1604837134374,1.125060013269004,-0.8404232933982806,0.088727668963989,31.73622738887918,413.4536095748383,0.6745829,0.11517418,0.99658835,0.9747984,0.12899995,0.14237835,7.156499862670898,85.01569366455078,0.1000000014901161,0.0,36.0,31.0,14.0,10.58791732788086,51.0
24325,SE,day,55.57915817893968,13.003225953100644,city,normal,partly-cloudy-day,54.787656693421866,5,10,1.363442598721642,-1.023285492258975,39.25454128017682,0.0667704188804259,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,89.76837985897028,0.7077051,0.35548052,0.99542195,0.9898197,0.15111563,0.07792638,15.191499710083008,65.82361602783203,0.0,0.0,55.0,0.0,18.0,16.422470092773438,2.0
38645,SE,twilight,59.25737303479719,15.229996711613971,city,normal,cloudy,-0.0338746472625217,5,19,0.5468888673589481,-1.7998088100083882,38.64518011382108,-0.0778381603686059,121.8558717032652,1.128173733560131,1.732561819006846,0.0784849875174295,34.79395280223011,87.20453950279757,0.58571243,0.20280159,0.9951507,0.9778217,0.1375543,0.10157701,7.567500114440918,51.36999130249024,0.0,0.0,4.0,0.0,4.0,6.489992141723633,0.0
41202,DE,twilight,50.935743213642986,6.961208751682155,city,normal,rain,-2.077363623837556,11,15,2.5506900232133223,-0.2595299459656286,33.86638657602649,-0.0021877239644911,121.1604837134374,1.125060013269004,-0.8407723553183722,0.088727668963989,31.73622738887918,88.03345438351889,0.7696238,0.26497343,0.99643046,0.9378165,0.27153212,0.18968564,11.302000045776367,81.51251220703125,0.0,0.0,99.0,99.0,85.0,15.646544456481934,3.0
37492,IT,night,41.97632145632044,12.54093158215666,highway,normal,clear-night,-18.731654674272605,8,20,0.201029473506252,0.0287985490698415,82.33857856515802,-0.2903387287755434,120.9702880538638,1.102109518675779,0.9413256208462162,0.0465482622168124,39.98099524207568,98.02111513058884,0.6993334,0.24139874,0.9940361,0.9825677,0.12095987,0.22689237,26.77499961853028,59.106719970703125,0.0,0.0,14.0,0.0,14.0,8.647496223449707,0.0
11564,PL,day,52.237712061736616,21.025732400811258,city,wet,rain,15.78780973528312,4,15,1.6017670814286928,-2.1993720986273577,20.02926690308077,-0.0488135268258608,120.0310462140434,1.129930671152837,0.7845076667532294,0.0339008523862861,14.273953023409025,67.84714665409453,0.6650495,0.11644309,0.99656135,0.981783,0.15676674,0.16632204,3.258500099182129,94.82649230957033,0.6000000238418579,0.0,100.0,80.0,100.0,13.10419750213623,53.0
11125,SE,day,55.607369529931816,13.027449087011185,city,normal,cloudy,46.40120068681667,5,13,0.6842396960810452,8.913517302052787,21.212906908751204,0.3746027148082167,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,72.79245380202282,0.74745303,0.1962303,0.99657565,0.9911869,0.15981975,0.091284275,14.797499656677246,64.19628143310547,0.0,0.0,99.0,17.0,0.0,23.18578720092773,3.0
4734,FR,day,43.29837006495182,5.364622578839725,city,wet,clear-day,23.01214038004015,2,8,-0.3539440106378138,-1.5134604714190034,13.190022442008097,-0.0499503268589021,121.2376221304691,1.124371377834915,1.0292988919458896,0.0207499795669303,16.47928310679553,78.91803219844672,0.63457054,0.12876557,0.9956008,0.9826841,0.106429204,0.121572554,13.561500549316406,84.0130615234375,0.0,0.0,3.0,3.0,0.0,5.351784706115723,0.0
7010,PL,day,52.25832639332832,20.99647191309174,city,normal,clear-day,44.21401994810436,4,8,0.6306283471724613,3.203981896339837,49.07152225393311,0.3816615785896989,120.0310462140434,1.129930671152837,0.7834161288230759,0.0339008523862861,14.273953023409025,91.95605821671109,0.82495016,0.19723403,0.99406886,0.99106663,0.3379271,0.29516524,9.461000442504885,51.14630126953125,0.0,0.0,0.0,0.0,0.0,12.738099098205566,0.0
99439,SE,day,65.54353308738483,21.83004885378448,arterial-rural,wet,partly-cloudy-day,9.235114549932716,3,15,0.2851623750414523,-1.7771067132667062,87.9584831180118,0.2825636867291621,120.6802679025302,1.091214386508083,-0.7531883635207067,0.0575832107783082,19.153658261130506,30.39167803167617,0.64175266,0.11800976,0.9918636,0.91833496,0.114246584,0.207013,-0.4200000166893005,72.17308807373047,0.0,0.0,83.0,0.0,80.0,7.862518310546875,3.0
7563,SE,day,55.60402658743074,13.027174375201678,city,normal,cloudy,49.398062389814456,5,13,0.6529629524484528,-0.5626975348362389,34.34925382148459,-0.1947197820598866,121.100845132532,1.131092790341723,0.8810810877117011,0.0287084897382195,34.136425977591585,40.74148181308529,0.5800984,0.090528846,0.99481744,0.9485973,0.15480945,0.25039548,16.104000091552734,65.79890441894531,0.0,0.0,100.0,73.0,13.0,18.723461151123047,3.0
