,Time_of_Day,Weather_Condition,Road_Environment_Type,Road_Surface_Condition,Traffic_Density,Pedestrian_Presence,Cyclist_Presence,Number_of_Visible_Lanes,Intersection_Type,Lane_Marking_Visibility,Artificial_Lighting_Source,Crosswalk_Presence,Vertical_Road_Profile,Horizontal_Road_Curvature,Infrastructure_Barriers,Building_Density,Vegetation_Level,Traffic_Sign_Presence,Vehicle_Composition,Ego_Vehicle_Lane_Position,Ego_Vehicle_Lane_POSITION,conf,iou,lrp
4422,Dawn/Dusk,Cloudy,Urban,Dry,High/Congested,On_Sidewalk,Yes,2,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.53856319313248,0.0,0.0
4497,Daylight,Cloudy,Urban,Dry,High/Congested,On_Sidewalk,No,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5327865797646192,0.0,0.0
4734,Daylight,Clear,Urban,Wet,Low,On_Sidewalk,No,2,T-Junction,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6765588819980621,0.0,0.0
4957,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5820299486319224,0.0,0.0
4959,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,,Passenger_Cars_Only,Centered,,0.5393887162208557,0.0,0.0
4971,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,,0.5687512785804515,0.0,0.0
5124,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.551375262439251,0.0,0.0
5341,Daylight,Clear,Urban,Dry,Moderate,Crossing_Road,No,2,Roundabout,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5157298543132268,0.0,0.0
5451,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.561412769262908,0.0,0.0
5516,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5212525741694725,0.0,0.0
5587,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5351405261705319,0.0,0.0
5648,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.4798159963554806,0.0,0.0
5718,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5656828541180183,0.0,0.0
5724,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Concrete_Median,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,,0.6541744286105746,0.0,0.0
5803,Daylight,Cloudy,Highway,Dry,Low,On_Sidewalk,No,3,,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,,Mixed_Heavy_Traffic,Centered,,0.614990063403782,0.0,0.0
5869,Daylight,Clear,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5714543828597436,0.0,0.0
5873,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5389349903609302,0.0,0.0
5874,Twilight,Cloudy,Urban,Dry,Moderate,Crossing_Road,No,2,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5509608062329115,0.0,0.0
5915,Daylight,Clear,Urban,Dry,Empty,Crossing_Road,No,1,,Absent,,No,Flat,Straight,Curb,High_Rise,,Directional,No_Vehicles,Centered,,0.4500330537557602,0.0,0.0
5917,Daylight,Clear,Urban,Dry,Low,Crossing_Road,No,1,Four-Way,Absent,,Yes,Flat,Straight,Curb,High_Rise,,Multiple_Types,Passenger_Cars_Only,Centered,,0.6099682994957628,0.0,0.0
5999,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6648581524689993,0.0,0.0
6002,Dawn/Dusk,Cloudy,Residential,Dry,Moderate,,Yes,2,Four-Way,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6045923923904245,0.0,0.0
6131,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Slight_Right,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5044962251186371,0.0,0.0
6244,Night,Rainy,Rural,Wet,Low,,No,2,,Clear,Street_Lights,No,Flat,Straight,Metal_Guardrail,,Dense_Forest,Directional,Passenger_Cars_Only,Centered,,0.57379006422483,0.0,0.0
6249,Daylight,Clear,Urban,Dry,Empty,Near_Roadside,No,2,,Clear,,No,Flat,Slight_Right,Curb,Low_Density_Urban,Park-like,Regulatory,No_Vehicles,Centered,,0.46907688677310944,0.0,0.0
6370,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5504466909915209,0.0,0.0
6444,Daylight,Clear,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.5226863026618958,0.0,0.0
6553,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5417011976242065,0.0,0.0
6582,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,Yes,Flat,Slight_Right,Curb,High_Rise,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.5827316084633702,0.0,0.0
6801,Dawn/Dusk,Cloudy,Urban,Dry,Low,Crossing_Road,No,2,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5813034402747308,0.0,0.0
6879,Dawn/Dusk,Cloudy,Urban,Dry,Low,,Yes,1,T-Junction,Clear,Building_Lights,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5303996811833298,0.0,0.0
6885,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Concrete_Median,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5625867802043294,0.0,0.0
7010,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5534384115175768,0.0,0.0
7062,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,,Regulatory,Passenger_Cars_Only,Centered,,0.5594454771035338,0.0,0.0
7076,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,3,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.45807943514415195,0.0,0.0
7126,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,,0.4847523071936199,0.0,0.0
7184,Dawn/Dusk,Cloudy,Urban,Wet,Low,On_Sidewalk,Yes,2,Four-Way,Clear,Vehicle_Headlights,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5861966709295908,0.0,0.0
7217,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Moderate,Regulatory,Public_Transit_Focus,Centered,,0.618320656940341,0.0,0.0
7234,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Directional,Public_Transit_Focus,Centered,,0.5471057697482731,0.0,0.0
7262,Daylight,Clear,Urban,Dry,Low,On_Sidewalk,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.567750256591373,0.0,0.0
7320,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5688793482007207,0.0,0.0
7366,Dawn/Dusk,Cloudy,Residential,Dry,Moderate,On_Sidewalk,Yes,1,,Faded,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Regulatory,Mixed_Heavy_Traffic,Centered,,0.5572717214624087,0.0,0.0
7419,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Park-like,Multiple_Types,Passenger_Cars_Only,Centered,,0.5836621640870968,0.0,0.0
7432,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,1,Four-Way,Clear,,No,Flat,Straight,Concrete_Median,Low_Density_Urban,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5150169064832288,0.0,0.0
7540,Daylight,Cloudy,Residential,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.560880109667778,0.0,0.0
7561,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,Four-Way,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Mixed_Heavy_Traffic,Centered,,0.5433032123938851,0.0,0.0
7563,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5128450801498011,0.0,0.0
7586,Night,Clear,Urban,Wet,Moderate,On_Sidewalk,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6326917211214701,0.0,0.0
7672,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5981109738349915,0.0,0.0
7679,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5868491376599958,0.0,0.0
7764,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5609884009046374,0.0,0.0
7908,Daylight,Cloudy,Urban,Dry,Low,Crossing_Road,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5259053965409597,0.0,0.0
7981,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5755078314348708,0.0,0.0
8102,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.5501921959718068,0.0,0.0
8127,Daylight,Cloudy,Urban,Dry,Moderate,Near_Roadside,Yes,1,,Clear,,No,Flat,Straight,Noise_Wall,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.528997892803616,0.0,0.0
8133,Dawn/Dusk,Cloudy,Urban,Wet,Low,On_Sidewalk,No,2,,Absent,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5598826762792226,0.0,0.0
8143,Daylight,Cloudy,Urban,Dry,Moderate,Crossing_Road,Yes,3,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5778923735899084,0.0,0.0
8288,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5977072369667792,0.0,0.0
8324,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5942157292366028,0.0,0.0
8344,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,,Faded,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Directional,Passenger_Cars_Only,Centered,,0.5090132743120194,0.0,0.0
8458,Twilight,Cloudy,Urban,Wet,Low,,No,3,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.4976035626429432,0.0,0.0
8459,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5714017041027546,0.0,0.0
8512,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.4332710728049278,0.0,0.0
8560,Twilight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5483685662349065,0.0,0.0
8659,Daylight,Clear,Urban,Dry,Low,,No,4,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.5355866262141395,0.0,0.0
8671,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5689281592535418,0.0,0.0
8705,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.5668055978981225,0.0,0.0
8754,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.6396444452845532,0.0,0.0
8900,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5019787016667818,0.0,0.0
8924,Daylight,Cloudy,Urban,Wet,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Slight_Left,Curb,High_Rise,,Multiple_Types,Passenger_Cars_Only,Centered,,0.6443518721140348,0.0,0.0
8968,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.5916049253372919,0.0,0.0
8986,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,,Directional,Public_Transit_Focus,Centered,,0.6036260661325956,0.0,0.0
9031,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,Four-Way,Absent,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5474551105871797,0.0,0.0
9094,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,Street_Lights,No,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.6116436868906021,0.0,0.0
9180,Daylight,Cloudy,Urban,Dry,Moderate,,No,3,Four-Way,Clear,,No,Flat,Straight,Metal_Guardrail,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.546932484264727,0.0,0.0
9220,Daylight,Clear,Residential,Dry,Low,,No,2,Four-Way,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5458808205229171,0.0,0.0
9242,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,,Regulatory,Passenger_Cars_Only,Centered,,0.5351943009429507,0.0,0.0
9386,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5669683176610205,0.0,0.0
9397,Daylight,Cloudy,Urban,Dry,Low,Crossing_Road,Yes,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.5192395207729745,0.0,0.0
9580,Dawn/Dusk,Cloudy,Urban,Dry,Low,On_Sidewalk,No,2,,Clear,Vehicle_Headlights,No,Flat,Straight,Curb,Industrial,Moderate,Regulatory,Passenger_Cars_Only,Centered,,0.5811151481907944,0.0,0.0
9826,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6118107079104944,0.0,0.0
9827,Dawn/Dusk,Cloudy,Urban,Dry,Low,Crossing_Road,Yes,3,Four-Way,Clear,Street_Lights,Yes,Flat,Straight,Curb,High_Rise,Moderate,Multiple_Types,Passenger_Cars_Only,Centered,,0.5059278950971715,0.0,0.0
9863,Daylight,Clear,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,,Regulatory,Public_Transit_Focus,Centered,,0.5480458323772137,0.0,0.0
9916,Daylight,Clear,Highway,Dry,Moderate,,No,3,,Clear,,No,Flat,Straight,Metal_Guardrail,Sparse/Rural,Moderate,Multiple_Types,Mixed_Heavy_Traffic,Centered,,0.5651609650679997,0.0,0.0
9923,Daylight,Cloudy,Urban,Dry,Moderate,Crossing_Road,No,2,,Clear,,No,Flat,Straight,Curb,High_Rise,Park-like,Regulatory,Passenger_Cars_Only,Centered,,0.6412757615248362,0.0,0.0
9958,Daylight,Cloudy,Urban,Dry,Moderate,,No,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Moderate,Directional,Passenger_Cars_Only,Centered,,0.687131564725529,0.0,0.0
9998,Daylight,Cloudy,Urban,Dry,Low,On_Sidewalk,Yes,2,,Clear,,No,Flat,Straight,Curb,Low_Density_Urban,Park-like,,Passenger_Cars_Only,Centered,,0.5462619717474337,0.0,0.0
10020,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,Four-Way,Clear,,No,Flat,Straight,Curb,High_Rise,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5597392764958469,0.0,0.0
10080,Daylight,Cloudy,Urban,Dry,Low,,No,2,,Clear,,Yes,Flat,Slight_Left,Curb,Low_Density_Urban,Sparse,Multiple_Types,Passenger_Cars_Only,Centered,,0.5636364020863358,0.0,0.0
10084,Daylight,Cloudy,Urban,Dry,Moderate,On_Sidewalk,No,2,,Clear,,Yes,Flat,Straight,Curb,Low_Density_Urban,Moderate,Multiple_Types,Public_Transit_Focus,Centered,,0.4863654571771622,0.0,0.0
10239,Daylight,Cloudy,Urban,Dry,Moderate,,Yes,1,,Clear,,No,Flat,Slight_Left,Curb,Low_Density_Urban,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.6252575010754341,0.0,0.0
10434,Dawn/Dusk,Cloudy,Urban,Dry,Moderate,On_Sidewalk,Yes,2,,Clear,Building_Lights,No,Flat,Straight,Curb,High_Rise,Sparse,Regulatory,Passenger_Cars_Only,Centered,,0.643246921471187,0.0,0.0
